,UNH,JNJ,PFE,LLY,TMO,MRK,ABT,DHR,BMY,MDT,AMGN,CVS,ANTM,ISRG,SYK,CI,REGN,BDX,GILD,EW,VRTX,BSX,HUM,ILMN,CNC,MCK,IDXX,BAX,A,RMD,BIIB,MTD,ALGN,WST,CERN,ZBH,LH,STE,ABC,PKI,COO,MOH,HOLX,WAT,CAH,DGX,TECH,TFX,INCY,CRL,ABMD,VTRS,HSIC,BIO,UHS,XRAY
CERN,0.00038176355853792313,0.0002031838186218403,0.0003313004687313133,0.00028747197612609155,0.0003814311030944814,0.0002822607830341223,0.00014222245781124986,0.0003791276102172921,0.00023521374193916284,0.0002983187327263708,0.000267400015012551,0.0002738800321357849,0.0003525456909228957,0.000603023942888531,0.00032363901677193066,0.0006049487200854457,0.000533362691236849,0.00012709839942660968,0.0002097867863616158,0.00020029996737043812,0.00039536846941899543,0.0003949638408967395,0.0003467651906758947,0.0004358780365606881,0.00029188488480278157,0.00025348700782571,0.0004820036585470819,0.00016750451474657245,0.00046180969218893403,0.0003555587554871067,0.0003862252865496467,0.0004038651898517627,0.0006299564298622283,0.0003433200140820688,0.0009284823116540585,0.0003547700700322294,0.00023187545671532968,0.00035764324157990153,0.00021016082691495308,0.0003569716986749345,0.0004352155790395823,0.00031138665287115056,0.0005964103236481031,0.0002898256341281443,0.00029535902815582677,0.0002733269441838965,0.0002334864650758792,0.00031490583860995284,0.0006499508195264593,0.0003406183665354608,0.0006392724736346288,0.00040589358806355054,0.0003783329253221956,0.0003295153068195553,0.00035658709331876846,0.00042489999494804996
ZBH,0.0006212370330285406,0.00032517608244948647,0.00040327870167894094,0.00041682329079910645,0.0004353300381857724,0.0004554270151226477,0.0002719393149680259,0.0004728621619535747,0.00030752386308562633,0.00044264639133832155,0.0004231543821660938,0.000353534844638994,0.0005463328994133429,0.0006341002708109684,0.0005093493022926387,0.0008052850698067663,0.000623806604896816,0.00023719825607734448,0.00023566860755322102,0.0002974576542372275,0.00039789809405995524,0.000682719544241873,0.0005507957762494956,0.0004018383132307899,0.0004436876121896313,0.00043374719673920837,0.00048069719844720255,0.00031271167332897967,0.0005614277573510087,0.00047977967377807945,0.00038557072100633245,0.0003768107810544324,0.0006832907836019171,0.0004415423971719931,0.0003547700700322294,0.0007759514004344103,0.00026902233953422425,0.00039700998066323945,0.0003642366449028445,0.00047292814008854434,0.0005406843509905836,0.00046307865756268157,0.0006722232706226337,0.0004265800510013274,0.0005049620288563089,0.00037237015045405846,0.00026924314409792875,0.00033103122613117647,0.0008506025438440053,0.0003748312876177109,0.000590206355554528,0.00046817364875256285,0.0004300922603113299,0.00042065548223479423,0.00046411514762032154,0.0005201034157435913
LH,0.00041730677034295375,0.00019766988817151502,0.00026400095860812833,0.00027361607393134056,0.00028868802688211925,0.0002965305839323663,0.0002052370097181993,0.00024290012104930453,0.00021975571815307227,0.0002527104764839596,0.0002597641699228643,0.0002707871370919856,0.00037925458093155426,0.00039743298517498605,0.00028441324976886847,0.0005432272286192429,0.000448841321248469,0.00019082985024817425,0.00022105362079665792,0.0001839028960382281,0.000346584134553299,0.00036344404802320123,0.00045402547765870793,0.00024155989610717658,0.00029337367341948975,0.00028750006643316224,0.0003060275489257218,0.00020926954884352113,0.00029022995650207435,0.00028809151046180046,0.00025020999796539174,0.00020999862851192507,0.0003856426043822951,0.00028311583928811244,0.00023187545671532968,0.00026902233953422425,0.00031824897701237967,0.00025636311992456584,0.00025410342298439815,0.00026334267227686906,0.00028098861133039096,0.0003725164058715815,0.00039574854347620834,0.0002470947481419352,0.00032117846040824254,0.0003361666558742992,0.00016988004754250302,0.00022136619107706936,0.0005288702057792988,0.00023609530952182955,0.000335810168723538,0.00026784051513439747,0.00026897462165932775,0.00029116473446946404,0.0003078633128362924,0.000307071235735036
STE,0.0005636677509807029,0.0002467235355522207,0.00035917254402788795,0.0003894558414846822,0.0004468776749569259,0.00045317566806520407,0.00025423669962059824,0.00031876462361928845,0.0002853690941895178,0.0004265294634043321,0.00028064174823026826,0.00027342661830630883,0.0005381799010538473,0.0005575858575329547,0.00040045376130545514,0.000911921140761365,0.0006959319692611449,0.00018168104253042455,0.00025969290440709767,0.00029046628691720616,0.00046912614381661166,0.0006700984454191591,0.0007009475299125102,0.0004253091269527945,0.00046250212793870395,0.0004648834269727486,0.00046283646233288665,0.00027567982269831635,0.0005401706244333914,0.00046221061674932566,0.0003368447321317608,0.00047024535174411874,0.0005335157128451522,0.00042206839446088756,0.00035764324157990153,0.00039700998066323945,0.00025636311992456584,0.0008523862715237744,0.00033914756857040423,0.00046296227998055396,0.0005164253510386644,0.0004600336324170683,0.0007533719578144276,0.0003576182378059699,0.00046194110960605557,0.00033135410378338007,0.0002961964348982862,0.000322229081912663,0.0008659078626201066,0.00037833978752273886,0.0005927506440991385,0.00038441475953816806,0.0004361278102993362,0.0003839309324565935,0.0005022293255414851,0.00048704822707988323
ABC,0.0005526296769876379,0.00027987656924659813,0.00041235924557723986,0.0004137340428400294,0.00031460309965215057,0.0004293746470550169,0.0003110904010891354,0.00032910340098999476,0.00032244824729100774,0.00033197066321137455,0.0003880848108516851,0.0002762673503932099,0.00046683871599242867,0.00043773409436427763,0.0003264322272422031,0.0006831824153397568,0.0005148569340547736,0.0002349407817248968,0.0002871095136380274,0.0002723736254501058,0.00039422386075412875,0.0005289347688573803,0.0005583613854843223,0.00031128570266428246,0.00041325400438825056,0.0005409761785984269,0.00042417787447566563,0.00033134582362873746,0.0004175565476003344,0.00036936772560008956,0.00029972765911580226,0.0004025010863631095,0.00042505928376551476,0.00033931765606311996,0.00021016082691495308,0.0003642366449028445,0.00025410342298439815,0.00033914756857040423,0.0005950083641614551,0.00036699210039113704,0.0005044927193593477,0.0003752729909928034,0.0005040456611497521,0.000299797482631411,0.0005271683532238769,0.00035485830279544556,0.0001748386627531754,0.00029020833587590887,0.0007224464663738638,0.00028979543062656823,0.0003415974519658668,0.0004115653865564359,0.00037415453385741414,0.0003430357315055265,0.0004075281622470051,0.0004011309865102335
PKI,0.0005428222931968604,0.0003240262614522658,0.00041096544518301855,0.00045527968222735794,0.0007581707198136785,0.0004045501402955808,0.0001962185942608644,0.00046584932422529316,0.0002357623737828535,0.0003663011173784563,0.00035146275513316995,0.0005066421402157986,0.0006038295055938937,0.0006001984166383599,0.0003703563643856575,0.0008281586082054645,0.0006950657188697536,0.0001697110433061519,0.00020015438229241525,0.00028359687563797185,0.000444585306085014,0.0006448586627569411,0.0006408579333330326,0.0006100691485948375,0.0004657290462735633,0.00045339138378559145,0.0004979072744890332,0.00027250537054023183,0.0008532635242646686,0.00046361054137222904,0.00033279279686024044,0.000971574071683436,0.0006538839548691644,0.0005043875646774126,0.0003569716986749345,0.00047292814008854434,0.00026334267227686906,0.00046296227998055396,0.00036699210039113704,0.001410240004823854,0.0006361743814286552,0.0006379445607505779,0.0007642491453717164,0.0007675417496712643,0.0005009288936911286,0.0003124472023530364,0.00038140665185498404,0.00027237409182083005,0.0009072101241612212,0.0004880629246600447,0.0005344198712123443,0.00047397337583729855,0.0004736778152818915,0.0005288600725183696,0.0005275533178797527,0.0004208738223427657
COO,0.0005675603251653602,0.0003029018644386528,0.0005097234746861144,0.0005480699655385622,0.0006489512346520658,0.0004229203301937755,0.0003039171833819604,0.0005302303725116154,0.0004184245720489057,0.00047956473257440563,0.0004665352098846028,0.00018576975655066106,0.0006704967993698941,0.0008643007362263589,0.0004390425116737979,0.0011711822675412823,0.000732330516559221,0.000251881894251534,0.0004355927214819024,0.0004214570407025627,0.0007988001882966037,0.0009765744958150238,0.0006686286222132298,0.0005740401931591895,0.0006243683183271602,0.0005246670834503907,0.0005871946293957846,0.0003661034514553415,0.000724267579100166,0.0006826689954823688,0.0004490788338226286,0.0007398434157686772,0.0008332870602821797,0.0006320213501164424,0.0004352155790395823,0.0005406843509905836,0.00028098861133039096,0.0005164253510386644,0.0005044927193593477,0.0006361743814286552,0.0020356631112078876,0.0006799358689376445,0.001023395754176711,0.0005367971254801006,0.0005977734145173534,0.0004886331985901866,0.0003998985172772846,0.0003850975199384724,0.0013575829486639887,0.0003404358754713931,0.000757140135356069,0.0006264067415446121,0.0005963135178096739,0.000509518835032484,0.0006112319944782485,0.0005676321560154286
MOH,0.0007505406438402071,0.0003182507265488149,0.0003933066471370369,0.00041370900562708263,0.0005724219860398586,0.00046920664827847274,0.00022881416134279335,0.00041667889889719146,0.00033849185925471806,0.0004244624926148035,0.00032210924086270196,0.00047494894382410193,0.0007200130830646247,0.0005792113271910353,0.00037473054614309547,0.0011287234438328128,0.0007490665510990159,0.00017722272405592762,0.00034544341781069486,0.000295971154802606,0.0004340174354805315,0.0007464296299739342,0.0009057165263616523,0.0005038210612894457,0.0006684558796177794,0.00042826733681187556,0.00046170416581205626,0.0002819979950740424,0.0006426632604091377,0.0004834719272909235,0.0003650445441521039,0.0004900973433753145,0.000623749862688168,0.0004831198233983122,0.00031138665287115056,0.00046307865756268157,0.0003725164058715815,0.0004600336324170683,0.0003752729909928034,0.0006379445607505779,0.0006799358689376445,0.00130443953713804,0.0007537291086309854,0.0004182986196756943,0.0004858134172667667,0.0003841160260404734,0.00027913766543152796,0.00031211310912168303,0.0009907709818498945,0.0004292728259021566,0.0006631211346739174,0.0003721717598106516,0.0004465311178648282,0.00048318150017501155,0.0005073654083882815,0.0004573135532413728
HOLX,0.0008167528245165604,0.0003930873401219098,0.0004892953521652883,0.00059704421620131,0.0008488887947697296,0.0007753780349115848,0.00029246094611044875,0.0006287450303672374,0.0004887733733137826,0.0005225880276675837,0.0005305940377457798,0.000542006255133367,0.0007572017095209612,0.0009843147999386156,0.0005340604145752612,0.001455559694350995,0.0010021051234739666,0.0003176028196810027,0.0004584169266110056,0.0004482262956090475,0.000866724588838884,0.0009730421410826043,0.0009756021514638828,0.0008304192538759359,0.0007115297085832749,0.0006565829198349112,0.0007267758051264951,0.0004008715568956396,0.0009577162946524325,0.0006639016123774976,0.0005771601833634794,0.0008311313529477279,0.001220812817113767,0.0007923527644024651,0.0005964103236481031,0.0006722232706226337,0.00039574854347620834,0.0007533719578144276,0.0005040456611497521,0.0007642491453717164,0.001023395754176711,0.0007537291086309854,0.001962954873609793,0.0006948588845705804,0.0006663095432667767,0.0004813780744861422,0.0004103511217271945,0.00043549484290570615,0.0015669636040883653,0.0006006156371694294,0.0008608401947206681,0.0006862091162382443,0.0007044258907106949,0.0007505711487033571,0.0007132963253754373,0.0006996461985395124
WAT,0.0005423043167340506,0.0002726522715433998,0.0003062734615055921,0.00038259063851756557,0.0006186341367867513,0.0003612243517898657,0.0001608777173237026,0.00038629610860329905,0.00019062911592372225,0.00029639118308802604,0.00034602662583478155,0.000419163644913819,0.00046736240527609277,0.0005462408397603782,0.0002935124451681849,0.0007435485909633537,0.0004936045321821451,0.00018614688406985128,0.00023250438550377975,0.0003759367871608224,0.0004960181720169639,0.0005222363893026364,0.0004355944871830349,0.000477000177207536,0.0004067705065961731,0.0003903981003170412,0.0004941441300647828,0.0002658818917051756,0.0007052160750847573,0.00037940717688011543,0.0003553088644531261,0.0006511088354017204,0.0006367762987528707,0.00046208507746331055,0.0002898256341281443,0.0004265800510013274,0.0002470947481419352,0.0003576182378059699,0.000299797482631411,0.0007675417496712643,0.0005367971254801006,0.0004182986196756943,0.0006948588845705804,0.0010730616951173284,0.00042139716767997375,0.00032103652953805763,0.00044991506763655375,0.0002936788874342138,0.0006738308328469079,0.0004015471313329403,0.0004473068049785983,0.00047290591210803377,0.0003788312707759814,0.00044702475809362994,0.0004883732205622058,0.00041339688603644935
