Date,UNH,JNJ,PFE,LLY,TMO,MRK,ABT,DHR,BMY,MDT,AMGN,CVS,ANTM,ISRG,SYK,CI,REGN,BDX,GILD,EW,VRTX,BSX,HUM,ILMN,CNC,MCK,IDXX,BAX,A,RMD,BIIB,MTD,ALGN,WST,CERN,ZBH,LH,STE,ABC,PKI,COO,MOH,HOLX,WAT,CAH,DGX,TECH,TFX,INCY,CRL,ABMD,VTRS,HSIC,BIO,UHS,XRAY
2004/4/20,26.32274437,32.10009384,17.30629539,39.96866226,27.8797245,22.54271507,12.65335464,16.85149956,12.28912163,36.03272247,44.90605927,14.22708035,36.83461761,1.701110959,40.31617355,21.28308296,12.71000004,36.82654953,5.679639339,2.75,8.56000042,41.70000076,16.38126373,3.275000095,3.96875,26.79323578,15.60000038,12.95681572,17.6516819,10.04987335,57.90000153,43.95000076,20.77000046,8.083870888,5.529694557,70.68871307,39.70999908,20.43072701,10.84603214,17.385252,52.25041199,21.33333206,5.550000191,39.52999878,34.67492676,31.58797646,34.05041122,37.83991623,7.860000134,45.52000046,12.18999958,22.12871742,14.98039246,59.40999985,19.40321732,20.55859947
2004/4/21,26.84919357,32.43238831,17.40060806,40.61039734,28.34869576,22.68417931,12.62115002,16.72286415,12.40102482,36.7559433,43.70998764,14.51062012,37.68555832,1.716667056,40.82938385,21.19303894,12.77000046,37.89642334,5.76334095,2.760833025,9.270000458,41.45000076,16.46326256,3.664999962,4.005000114,28.1441555,15.51500034,13.40279102,17.83593941,10.27769279,58.72999954,44.90000153,21.23999977,8.125115395,5.528485298,73.12812805,40.65999985,20.64895248,11.16227913,17.56563187,53.08839035,21.46666718,5.75,39.90999985,35.36568832,31.72278595,34.62076187,37.90151215,8.090000153,45.65999985,12.48999977,22.35366058,15.26862717,60.15000153,20.197052,20.95785522
2004/4/22,27.44612122,32.40822601,17.2308445,40.94784164,29.19092751,22.80126572,12.9519062,16.79969597,12.56379318,36.3263092,43.80966568,14.64939213,39.91399765,1.74111104,41.49987793,21.54679298,13.52999973,38.75523758,5.900847912,2.775832891,9.25,42.25,16.63636589,3.900000095,4.1875,27.60725975,15.5,13.31991005,18.03862381,10.37011147,60.77000046,45.72000122,19.20000076,8.114804268,5.614338398,75.25591278,41.22000122,20.64895248,11.32625675,17.90921021,54.1235466,22.33333206,5.747499943,40.25999832,35.39508057,32.5895462,35.10598755,38.67140198,8.260000229,45.99000168,12.89999962,22.80354691,15.53137302,61.00999832,20.76733208,21.79221725
2004/4/23,27.33833313,32.43238831,17.17426109,40.46655273,29.66946602,22.81102562,12.84945202,16.79254723,12.66552353,35.88951492,44.706707,14.60438442,39.7454834,1.732221961,41.15634155,21.46639442,13.59000015,38.43498611,5.990525246,2.932499886,9.029999733,41.81000137,17.31967926,4.019999981,4.143750191,27.64189911,15.32499981,13.14230919,18.11846924,10.33787346,60.68000031,45.90999985,19,8.071493149,5.475279808,73.7335434,40.38999939,17.59374619,11.32235527,17.56563187,53.28556061,22.02666664,5.692500114,39.70000076,35.1893158,33.18662643,35.0378685,38.29415131,8,45.72000122,12.78999996,22.78479958,15.37450981,61.90000153,20.73539734,21.971632
2004/4/26,26.48855972,32.56531525,17.11295319,40.5771904,29.53547096,22.75247383,12.87872601,16.71751213,12.59431553,35.69617081,45.28173828,14.6643877,39.11361694,1.752221942,41.42949677,21.16731262,15.30000019,37.36512756,6.133016109,2.910000086,9.100000381,41.20000076,16.13527489,4.215000153,4.056250095,27.12232018,15.33500004,12.80684185,17.86664963,10.27339745,60.09000015,45.45000076,18.97999954,8.073558807,5.468025208,74.78405762,40.5,17.03689384,11.41019821,17.26499557,53.14753723,22.10000038,5.602499962,39.47999954,35.17463303,32.75131607,34.78250885,38.03240204,8.239999771,46.72999954,13.31000042,22.88790131,15.3039217,59.61999893,20.42972946,22.00753212
2004/4/27,26.74556541,32.84325027,17.18369484,40.81506729,28.55924606,23.05004692,13.00166035,17.06232452,12.57397079,36.03272247,45.94878387,14.63813782,39.32001877,1.745555997,41.73164368,21.26057625,14.06000042,36.82654953,6.215718746,2.887500048,9.420000076,40.25,15.89838791,4.175000191,4.118750095,26.67200089,15.43500042,12.90551281,17.69467926,10.61942387,59.99000168,45.00999832,18.95000076,8.092118263,5.470444202,71.890625,40.09000015,17.31532669,11.3867712,16.87846184,53.67988205,22.20666695,5.65500021,39.27999878,35.23342514,32.6165123,34.24620438,38.10167313,8.270000458,47.09999847,13.39000034,23.04722977,14.43137264,59.70000076,20.49816322,21.57240677
2004/4/28,26.26055336,32.74053574,16.91961479,40.7431488,27.83187103,23.14274788,12.92263603,16.77289391,12.96054077,35.55295181,44.95206833,14.51436806,38.69656372,1.684443951,40.95769501,21.24127579,13.75,36.13516235,6.109101772,2.838332891,9.119999886,40.20999908,15.69794846,3.994999886,4.101250172,26.18706703,15.15250015,12.57399273,17.38144684,10.69035339,57.79999924,44.34000015,18.20000076,8.0529356,5.441422462,71.69478607,39.93000031,16.71330643,11.27159977,16.40603256,52.7531929,22.39333344,5.324999809,41.61999893,34.93948364,32.83991623,34.43347549,36.9160614,7.78000021,46.56000137,13.14999962,22.86915779,13.92941189,59,20.12405777,21.69800568
2004/4/29,25.81701469,32.68614578,16.77342987,40.60483932,28.52096367,22.91834831,12.99580574,16.71394157,12.86898518,35.98259354,44.56104279,14.45061016,38.41011047,1.681110978,40.91217041,20.84571457,13.02000046,36.4845047,6.123051167,2.924999952,9.100000381,40.77999878,15.19685745,3.809999943,4.116250038,26.05716324,15.35000038,12.46348667,17.07435417,10.64521694,57.00999832,44.5,18.03000069,7.991071224,5.224974155,72.06867218,39.97000122,16.7434082,11.13885498,16.70666885,53.18697357,22.20666695,5.057499886,42.97000122,34.78269196,32.4932251,33.85462189,35.36857986,7.739999771,46,11.75,21.97875595,13.91568565,58.79999924,19.95068359,22.12863922
2004/4/30,25.48538971,32.64385605,16.86303139,40.83165359,27.94672394,22.92809677,12.88458347,16.52991104,12.76725674,36.13296509,43.24996185,14.48811531,37.31483841,1.801110983,40.94526672,20.74601746,12.52999973,36.79016113,6.0722332,2.871666908,8.640000343,41.18999863,14.84152985,3.755000114,4.1875,28.45590782,15.31499958,12.49111462,16.58914566,10.59148121,59,44.81999969,17.36000061,8.001381874,5.177816391,71.0893631,39.74000168,16.67568016,11.30087662,16.53488159,53.23626328,23.7733326,5.037499905,43.15000153,35.88496017,32.4932251,33.29279709,35.14530945,7.949999809,46,11.43000031,21.47263718,13.81764698,58.59999847,20.02825165,21.7383709
2004/5/3,25.89163017,33.18761826,17.07995224,41.29081345,28.04242706,23.26957703,13.23962688,16.70143127,13.02667427,36.69865799,44.42303085,14.81066227,37.89196777,1.832221985,41.25567627,21.19303894,13.22999954,36.85568619,6.021416664,2.883332968,9.020000458,40.47000122,15.48840046,3.704999924,4.162499905,28.96683121,15.55749989,12.6292448,16.74269104,10.58718777,59.50999832,44.95999908,18.45999908,7.993134022,5.202000618,73.07468414,39.95999908,16.77351952,11.74791718,17.05884552,53.41371536,23.96666718,5.045000076,43.56999969,37.09501648,33.10574722,34.72291565,36.16155243,7.75,45.88000107,11.81999969,21.72569847,13.87450981,58.52999878,20.20618248,21.86846352
